// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	4.41345	C4	60	59	2	0	C4	60	64	
1	4.4391	G#2	44	36	0	0	G#2	44	64	
2	4.4658	G#3	56	34	1	0	G#3	56	64	
3	5.08655	Eb3	51	33	3	0.4762	Eb3	51	64	
4	5.54275	G#3	56	37	4	0.9524	G#3	56	64	
5	6.03205	Eb3	51	36	5	1.42855	Eb3	51	64	
6	6.50535	Bb3	58	59	8	1.90475	Bb3	58	64	
7	6.52135	C#3	49	43	6	1.90475	C#3	49	64	
8	6.55985	G3	55	37	7	1.90475	G3	55	64	
9	7.0064	Eb3	51	33	9	2.38095	Eb3	51	64	
10	7.5064	G3	55	28	10	2.85715	G3	55	64	
11	7.9808	Eb3	51	36	11	3.33335	Eb3	51	64	
12	8.4594	Eb4	63	63	14	3.8095	Eb4	63	64	
13	8.4893	C3	48	48	12	3.8095	C3	48	64	
14	8.49895	G#3	56	41	13	3.8095	G#3	56	64	
15	8.97755	Eb3	51	42	15	4.2857	Eb3	51	64	
16	9.5011	G#3	56	39	16	4.7619	G#3	56	64	
17	9.98185	Eb3	51	34	17	5.2381	Eb3	51	64	
18	10.4743	Bb3	58	39	19	5.7143	Bb3	58	64	
19	10.485	G2	43	54	18	5.7143	G2	43	64	
20	10.9787	Eb3	51	32	20	6.1905	Eb3	51	64	
21	11.4648	C#4	61	58	22	6.66665	C#4	61	64	
22	11.499	Bb3	58	44	21	6.66665	Bb3	58	64	
23	12.0022	Eb3	51	42	23	7.14285	Eb3	51	64	
24	12.468	C4	60	57	26	7.61905	C4	60	64	
25	12.5011	G#3	56	45	25	7.61905	G#3	56	64	
26	12.515	G#2	44	42	24	7.61905	G#2	44	64	
27	12.985	Eb3	51	31	27	8.09525	Eb3	51	64	
28	13.4306	Eb4	63	64	30	8.57145	Eb4	63	64	
29	13.4594	Bb3	58	51	29	8.57145	Bb3	58	64	
30	13.468	G2	43	57	28	8.57145	G2	43	64	
31	13.9423	Eb3	51	33	31	9.0476	Eb3	51	64	
32	14.4167	G#4	68	67	34	9.5238	G#4	68	64	
33	14.4498	F2	41	47	32	9.5238	F2	41	64	
34	14.453	C4	60	45	33	9.5238	C4	60	64	
35	14.968	G#3	56	42	35	10	G#3	56	64	
36	15.4466	Bb4	70	65	38	10.4762	Bb4	70	64	
